"41","Measurement of redshift-dependent cross-correlation of HSC clusters and Fermi gamma-rays","Hashimoto Daiki, Nishizawa Atsushi J., Shirasaki Masato, Macias Oscar, Horiuchi Shunsaku, Tashiro Hiroyuki, Oguri Masamune","MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY","484, 4, 5256-5266","2019","04","https://doi.org/10.1093/mnras/stz321"
"42","Multiwavelength study of X-ray luminous clusters in the Hyper Suprime-Cam Subaru Strategic Program S16A field (vol 70, S22, 2018)","Miyaoka Keita, Okabe Nobuhiro, Kitaguchi Takao, Oguri Masamune, Fukazawa Yasushi, Mandelbaum Rachel, Medezinski Elinor, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","70, 3","2018","06","https://doi.org/10.1093/pasj/psy024"
"43","Redshift space distortion of 21 cm line at 1 < z < 5 with cosmological hydrodynamic simulations","Ando Rika, Nishizawa Atsushi J., Hasegawa Kenji, Shimizu Ikkoh, Nagamine Kentaro","MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY","484, 4, 5389-5399","2019","04","https://doi.org/10.1093/mnras/stz319"
"44","Cosmology from cosmic shear power spectra with Subaru Hyper Suprime-Cam first-year data","Hikage Chiaki, Oguri Masamune, Hamana Takashi, More Surhud, Mandelbaum Rachel, Takada Masahiro, Kohlinger Fabian, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","71, 2","2019","04","https://doi.org/10.1093/pasj/psz010"
"45","Effect of lensing magnification on type Ia supernova cosmology","Sakakibara Hinako, Nishizawa Atsushi J., Oguri Masamune, Tanaka Masayuki, Hsieh Bau-Ching, Wong Kenneth C.","MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY","486, 3, 4365-4376","2019","07","https://doi.org/10.1093/mnras/stz1117"
"46","Evidence for the Cross-correlation between Cosmic Microwave Background Polarization Lensing from Polarbear and Cosmic Shear from Subaru Hyper Suprime-Cam","Namikawa T., Chinone Y., Miyatake H., Oguri M., Takahashi R., Kusaka A., Katayama N., et. al","ASTROPHYSICAL JOURNAL","882, 1","2019","09","https://doi.org/10.3847/1538-4357/ab3424"
"47","Halo concentration, galaxy red fraction, and gas properties of optically defined merging clusters","Okabe Nobuhiro, Oguri Masamune, Akamatsu Hiroki, Hamabata Akinari, Nishizawa Atsushi J., Medezinski Elinor, Koyama Yusei, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","71, 4","2019","08","https://doi.org/10.1093/pasj/psz059"
"48","Intrinsic galaxy alignment from angular dependent primordial non-Gaussianity","Kogai Kazuhiro, Matsubara Takahiko, Nishizawa Atsushi J., Urakawa Yuko","Journal of Cosmology and Astroparticle Physics","2018, 8, 14-14","2018","08",""
"49","Intrinsic galaxy alignment from angular dependent primordial non-Gaussianity","Kogai Kazuhiro, Matsubara Takahiko, Nishizawa Atsushi J., Urakawa Yuko","JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS","8","2018","08","https://doi.org/10.1088/1475-7516/2018/08/014"
"50","Second data release of the Hyper Suprime-Cam Subaru Strategic Program","Aihara Hiroaki, AlSayyad Yusra, Ando Makoto, Armstrong Robert, Bosch James, Egami Eiichi, Furusawa Hisanori, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","71, 6","2019","12","https://doi.org/10.1093/pasj/psz103"
"51","Subaru High-z Exploration of Low-luminosity Quasars (SHELLQs). V. Quasar Luminosity Function and Contribution to Cosmic Reionization at z = 6","Matsuoka Yoshiki, Strauss Michael A., Kashikawa Nobunari, Onoue Masafusa, Iwasawa Kazushi, Tang Ji-Jia, Lee Chien-Hsiu, et. al","The Astrophysical Journal","869, 2, .","2018","12",""
"52","Subaru High-z Exploration of Low-luminosity Quasars (SHELLQs). X. Discovery of 35 Quasars and Luminous Galaxies at 5.7 <= z <= 7.0","Matsuoka Yoshiki, Iwasawa Kazushi, Onoue Masafusa, Kashikawa Nobunari, Strauss Michael A., Lee Chien-Hsiu, Imanishi Masatoshi, et. al","ASTROPHYSICAL JOURNAL","883, 2","2019","10","https://doi.org/10.3847/1538-4357/ab3c60"
"53","The CFHT large area U-band deep survey (CLAUDS)","Sawicki Marcin, Arnouts Stephane, Huang Jiasheng, Coupon Jean, Golob Anneya, Gwyn Stephen, Foucaud Sebastien, et. al","MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY","489, 4, 5202-5217","2019","11","https://doi.org/10.1093/mnras/stz2522"
"54","The mass-richness relation of optically selected clusters from weak gravitational lensing and abundance with Subaru HSC first-year data","Murata Ryoma, Oguri Masamune, Ishimichi Takahiro N., Takada Masahiro, Mandelbaum Rachel, More Surhud, Shirasaki Masato, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","71, 5","2019","10","https://doi.org/10.1093/pasj/psz092"
"56","Cosmological constraints from cosmic shear two-point correlation functions with HSC survey first-year data","Hamana Takashi, Shirasaki Masato, Miyazaki Satoshi, Hikage Chiaki, Oguri Masamune, More Surhud, Armstrong Robert, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","72, 1","2020","02","https://doi.org/10.1093/pasj/psz138"
